frame,time_sec,x,y,confidence,estimated,velocity_x,velocity_y,speed,court_region,court_side
146,4.866666666666666,1218,231,0.30803388357162476,False,0.0,0.0,0.0,Front,Right
147,4.9,1218,231,0.31301379203796387,False,0.0,0.0,0.0,Front,Right
148,4.933333333333334,1250,262,0.36815449595451355,False,9.964206512413393,9.652825058900476,13.873083400591177,Front,Right
149,4.966666666666667,1283,298,0.5054561495780945,False,21.11416960066983,21.47493629438287,30.116126025331557,Front,Right
150,5.0,1317,337,0.5182701349258423,False,28.29520295219065,29.813518055129407,41.10309439603283,Front,Right
151,5.033333333333333,1322.0608369433808,339.8338827937862,0.5082701349258423,True,28.29520295219065,30.013518055129406,41.24839119470282,Front,Right
152,5.066666666666666,1350.3560398955715,369.8474008489156,0.48827013492584226,True,28.29520295219065,30.213518055129406,41.39414431261128,Middle,Right
153,5.1,1378.6512428477622,400.06091890404497,0.45827013492584223,True,28.29520295219065,30.413518055129405,41.54034894648022,Middle,Right
154,5.133333333333334,1406.946445799953,430.4744369591744,0.41827013492584225,True,28.29520295219065,30.613518055129404,41.68700034564004,Middle,Right
155,5.166666666666667,1435.2416487521436,461.0879550143038,0.36827013492584226,True,28.29520295219065,30.813518055129403,41.83409381162026,Middle,Right
156,5.2,1463.5368517043344,491.9014730694332,0.30827013492584227,True,28.29520295219065,31.013518055129403,41.98162469773527,Middle,Right
157,5.233333333333333,1491.832054656525,522.9149911245627,0.23827013492584226,True,28.29520295219065,31.213518055129402,42.12958840866532,Middle,Right
158,5.266666666666667,1520.1272576087158,554.1285091796921,0.15827013492584224,True,28.29520295219065,31.4135180551294,42.27798040003329,Middle,Right
159,5.3,1548.4224605609065,585.5420272348215,0.06827013492584225,True,28.29520295219065,31.6135180551294,42.42679617797756,Middle,Right
175,5.833333333333333,363,478,0.2572707235813141,False,4.9154713718472856,25.517095019988403,25.986227064862017,Middle,Left
176,5.866666666666666,1584.8283058093073,976.9850602485742,0.24727072358131408,True,4.9154713718472856,25.717095019988403,26.182643775496825,Back,Right
177,5.9,1589.7437771811547,1002.7021552685626,0.2272707235813141,True,4.9154713718472856,25.917095019988402,26.379114334688303,Back,Right
178,5.933333333333334,1594.659248553002,1028.619250288551,0.1972707235813141,True,4.9154713718472856,26.1170950199884,26.575637548148364,Back,Right
179,5.966666666666667,1599.5747199248494,1054.7363453085395,0.15727072358131408,True,4.9154713718472856,26.3170950199884,26.772212256340502,Back,Right
204,6.8,398,466,0.5393758416175842,False,-26.833431390792626,-0.20517390455038864,26.834215780146874,Middle,Left
205,6.833333333333333,981.4166689579234,1067.8445377737344,0.5293758416175842,True,-26.833431390792626,-0.20517390455038864,26.834215780146874,Back,Right
