frame,time,x,y,mask_area
0,0.0,1130,422,97
1,0.03333333333333333,1151,425,120
2,0.06666666666666667,1174,430,144
3,0.1,1174,430,140
4,0.13333333333333333,1196,438,170
5,0.16666666666666666,1220,449,157
6,0.2,1247,463,169
7,0.23333333333333334,1274,480,193
8,0.26666666666666666,1303,500,210
9,0.3,1303,500,205
10,0.3333333333333333,1335,525,247
11,0.36666666666666664,1364,554,349
12,0.4,1398,584,220
13,0.43333333333333335,1440,627,302
14,0.4666666666666667,1479,670,358
15,0.5,1479,670,320
16,0.5333333333333333,1518,716,311
17,0.5666666666666667,1570,684,239
18,0.6,1618,838,294
19,0.6333333333333333,1649,829,254
20,0.6666666666666666,1679,812,292
21,0.7,1679,811,293
22,0.7333333333333333,1711,798,248
23,0.7666666666666667,1748,787,420
24,0.8,1755,776,214
25,0.8333333333333334,1756,768,202
26,0.8666666666666667,1756,761,171
27,0.9,1755,761,174
28,0.9333333333333333,1755,759,170
29,0.9666666666666667,1755,762,183
30,1.0,1754,768,142
31,1.0333333333333334,1750,778,215
32,1.0666666666666667,1753,796,225
33,1.1,1753,796,224
34,1.1333333333333333,1752,817,236
35,1.1666666666666667,1751,843,345
36,1.2,1730,881,409
38,1.2666666666666666,1545,661,629
39,1.3,1539,632,546
40,1.3333333333333333,1564,768,505
41,1.3666666666666667,1554,769,255
42,1.4,1409,471,136
43,1.4333333333333333,1379,443,171
44,1.4666666666666666,1354,423,147
45,1.5,1354,423,142
46,1.5333333333333334,1344,414,80
47,1.5666666666666667,1357,425,98
48,1.6,1363,419,96
49,1.6333333333333333,1372,427,109
50,1.6666666666666667,1382,436,133
51,1.7,1382,436,131
52,1.7333333333333334,1392,448,123
53,1.7666666666666666,1402,463,144
54,1.8,1414,481,122
55,1.8333333333333333,1425,502,181
56,1.8666666666666667,1436,527,265
57,1.9,1436,527,248
58,1.9333333333333333,1449,553,239
59,1.9666666666666666,1460,584,223
60,2.0,1477,626,250
61,2.033333333333333,1490,668,304
62,2.066666666666667,1506,714,297
63,2.1,1506,715,280
64,2.1333333333333333,1522,768,264
65,2.1666666666666665,1533,762,146
68,2.2666666666666666,1561,721,176
69,2.3,1560,723,196
70,2.3333333333333335,1571,712,131
71,2.3666666666666667,1592,730,272
76,2.533333333333333,1252,547,1676
77,2.566666666666667,1224,530,2367
78,2.6,1202,523,2368
79,2.6333333333333333,1184,527,2549
80,2.6666666666666665,1168,538,2393
81,2.7,1168,538,2378
82,2.7333333333333334,1161,549,1187
83,2.7666666666666666,1164,586,497
85,2.8333333333333335,960,514,234
86,2.8666666666666667,930,528,278
87,2.9,931,528,271
88,2.933333333333333,897,545,297
90,3.0,834,580,226
91,3.033333333333333,799,605,286
92,3.066666666666667,764,631,247
93,3.1,763,632,236
94,3.1333333333333333,735,669,587
95,3.1666666666666665,710,642,137
96,3.2,688,629,111
97,3.2333333333333334,667,619,134
98,3.2666666666666666,648,610,148
99,3.3,649,611,178
100,3.3333333333333335,647,616,1364
101,3.3666666666666667,615,603,288
102,3.4,620,605,480
103,3.433333333333333,581,602,359
104,3.466666666666667,532,607,170
105,3.5,532,607,152
106,3.533333333333333,507,613,164
107,3.566666666666667,485,622,186
108,3.6,459,635,168
109,3.6333333333333333,434,650,194
110,3.6666666666666665,409,667,194
111,3.7,408,667,214
112,3.7333333333333334,421,673,136
113,3.7666666666666666,433,681,105
114,3.8,439,691,157
115,3.8333333333333335,494,622,507
116,3.8666666666666667,571,523,334
117,3.9,569,525,359
118,3.933333333333333,623,458,473
119,3.966666666666667,673,398,358
120,4.0,721,343,310
121,4.033333333333333,764,295,327
122,4.066666666666666,799,255,124
123,4.1,799,255,133
127,4.233333333333333,861,178,113
130,4.333333333333333,989,524,104
131,4.366666666666666,1244,548,566
132,4.4,1109,552,215
133,4.433333333333334,1119,551,440
134,4.466666666666667,1249,538,2216
135,4.5,1248,539,2187
136,4.533333333333333,1246,534,2571
137,4.566666666666666,1240,526,2776
138,4.6,1229,515,2786
139,4.633333333333334,1212,497,2165
140,4.666666666666667,1194,488,2309
141,4.7,1194,488,2337
142,4.733333333333333,1176,479,2257
143,4.766666666666667,1167,476,2264
144,4.8,1164,474,1594
145,4.833333333333333,1162,480,1195
146,4.866666666666666,1134,473,1568
147,4.9,1133,472,1473
148,4.933333333333334,1132,470,1528
149,4.966666666666667,1281,502,3011
150,5.0,1331,381,3912
151,5.033333333333333,1294,390,3441
152,5.066666666666666,1225,527,1153
153,5.1,1223,533,946
154,5.133333333333334,1197,534,1567
155,5.166666666666667,1169,585,2354
156,5.2,1154,598,1744
157,5.233333333333333,1151,595,1207
158,5.266666666666667,1137,582,716
159,5.3,1138,582,828
160,5.333333333333333,1140,590,872
161,5.366666666666666,1139,600,942
162,5.4,742,246,145
163,5.433333333333334,696,244,214
164,5.466666666666667,657,253,191
165,5.5,657,254,249
166,5.533333333333333,615,266,193
167,5.566666666666666,572,283,312
168,5.6,528,303,331
169,5.633333333333334,480,326,350
170,5.666666666666667,429,355,437
171,5.7,429,355,442
172,5.733333333333333,375,388,423
173,5.766666666666667,327,419,188
174,5.8,342,447,224
175,5.833333333333333,363,480,175
176,5.866666666666666,380,515,154
177,5.9,379,517,131
178,5.933333333333334,397,551,286
179,5.966666666666667,416,596,342
180,6.0,436,645,370
181,6.033333333333333,457,699,379
182,6.066666666666666,479,763,496
183,6.1,478,762,458
184,6.133333333333334,509,743,311
185,6.166666666666667,541,644,555
186,6.2,571,553,241
187,6.233333333333333,590,496,311
188,6.266666666666667,607,445,261
189,6.3,608,445,249
190,6.333333333333333,622,404,193
191,6.366666666666666,614,390,93
192,6.4,598,386,78
193,6.433333333333334,582,382,103
194,6.466666666666667,566,379,93
195,6.5,567,379,82
196,6.533333333333333,548,380,106
197,6.566666666666666,529,382,131
198,6.6,511,389,122
199,6.633333333333334,491,397,129
200,6.666666666666667,469,409,140
201,6.7,469,409,138
202,6.733333333333333,447,423,170
203,6.766666666666667,422,440,220
204,6.8,398,463,212
205,6.833333333333333,375,485,123
206,6.866666666666666,341,524,195
207,6.9,341,523,181
208,6.933333333333334,314,556,306
209,6.966666666666667,281,597,376
210,7.0,255,640,339
211,7.033333333333333,240,685,342
212,7.066666666666666,224,734,383
213,7.1,223,735,400
214,7.133333333333334,205,791,467
215,7.166666666666667,187,855,533
216,7.2,183,884,162
217,7.233333333333333,164,901,218
218,7.266666666666667,160,879,152
219,7.3,160,879,157
220,7.333333333333333,156,862,189
221,7.366666666666666,152,848,203
222,7.4,149,839,169
223,7.433333333333334,145,833,177
224,7.466666666666667,142,832,165
225,7.5,142,832,165
226,7.533333333333333,138,836,196
227,7.566666666666666,134,843,208
228,7.6,131,856,216
229,7.633333333333334,129,876,333
230,7.666666666666667,130,889,245
231,7.7,130,889,236
232,7.733333333333333,148,882,285
233,7.766666666666667,168,879,231
234,7.8,185,881,235
235,7.833333333333333,203,885,193
236,7.866666666666666,222,897,172
237,7.9,222,897,178
238,7.933333333333334,239,911,161
239,7.966666666666667,255,927,67
242,8.066666666666666,356,950,450
243,8.1,355,950,430
244,8.133333333333333,353,948,454
245,8.166666666666666,358,945,371
246,8.2,351,943,160
247,8.233333333333333,651,493,165
248,8.266666666666667,656,484,72
249,8.3,656,485,76
250,8.333333333333334,650,487,106
251,8.366666666666667,643,493,117
252,8.4,638,500,107
253,8.433333333333334,630,511,102
254,8.466666666666667,622,524,117
255,8.5,622,524,117
256,8.533333333333333,615,541,149
257,8.566666666666666,607,559,116
260,8.666666666666666,579,646,156
261,8.7,579,647,146
262,8.733333333333333,570,684,245
263,8.766666666666667,559,726,272
264,8.8,549,774,283
265,8.833333333333334,540,782,123
266,8.866666666666667,533,768,108
267,8.9,533,768,107
268,8.933333333333334,526,756,116
269,8.966666666666667,519,748,100
270,9.0,511,744,117
271,9.033333333333333,504,738,129
272,9.066666666666666,514,686,366
273,9.1,513,686,362
274,9.133333333333333,523,637,234
275,9.166666666666666,529,598,174
317,10.566666666666666,597,460,103
326,10.866666666666667,603,516,386
327,10.9,636,532,514
328,10.933333333333334,434,457,127
329,10.966666666666667,409,470,204
330,11.0,386,485,156
331,11.033333333333333,350,591,528
332,11.066666666666666,350,588,518
333,11.1,350,587,598
334,11.133333333333333,327,550,141
335,11.166666666666666,343,585,615
336,11.2,349,585,562
337,11.233333333333333,349,579,698
338,11.266666666666667,349,578,764
339,11.3,349,578,751
340,11.333333333333334,348,578,743
341,11.366666666666667,346,577,583
342,11.4,345,576,398
343,11.433333333333334,342,578,260
344,11.466666666666667,340,580,214
345,11.5,340,580,192
346,11.533333333333333,344,568,361
347,11.566666666666666,346,567,273
348,11.6,345,534,1072
349,11.633333333333333,345,587,419
350,11.666666666666666,346,603,500
351,11.7,347,604,515
352,11.733333333333333,348,700,1012
353,11.766666666666667,350,778,1082
354,11.8,352,800,1140
355,11.833333333333334,354,919,533
356,11.866666666666667,355,920,535
357,11.9,355,920,535
358,11.933333333333334,356,919,573
359,11.966666666666667,353,924,621
360,12.0,356,918,518
361,12.033333333333333,355,917,596
362,12.066666666666666,355,917,713
363,12.1,355,918,708
364,12.133333333333333,355,916,585
365,12.166666666666666,355,913,711
366,12.2,353,907,633
367,12.233333333333333,351,901,597
368,12.266666666666667,349,894,455
369,12.3,349,894,570
370,12.333333333333334,347,887,349
372,12.4,340,482,299
