frame,time,x,y,mask_area
0,0.0,1120,440,1148
1,0.03333333333333333,1139,429,817
2,0.06666666666666667,1151,426,854
3,0.1,1152,426,888
4,0.13333333333333333,1161,428,773
5,0.16666666666666666,1211,445,249
6,0.2,1247,463,208
7,0.23333333333333334,1268,476,224
8,0.26666666666666666,1296,497,255
9,0.3,1290,493,261
10,0.3333333333333333,1335,525,301
11,0.36666666666666664,1366,554,318
12,0.4,1284,688,546
13,0.43333333333333335,1427,634,314
14,0.4666666666666667,1212,759,3214
15,0.5,1196,759,3904
16,0.5333333333333333,1186,769,7878
17,0.5666666666666667,1213,781,3625
18,0.6,1617,839,360
19,0.6333333333333333,1575,630,1788
20,0.6666666666666666,1552,600,1247
21,0.7,1552,627,1842
22,0.7333333333333333,1542,610,1539
23,0.7666666666666667,1749,787,332
24,0.8,1520,586,1520
25,0.8333333333333334,1497,586,1566
26,0.8666666666666667,1439,573,2920
27,0.9,1446,577,2947
28,0.9333333333333333,1413,584,2925
29,0.9666666666666667,1176,498,1660
30,1.0,1199,493,1440
31,1.0333333333333334,1218,491,1217
32,1.0666666666666667,1224,494,1233
33,1.1,1223,493,1260
34,1.1333333333333333,1257,518,1211
35,1.1666666666666667,1310,558,1213
36,1.2,1140,449,984
37,1.2333333333333334,1140,447,1123
38,1.2666666666666666,1140,444,1040
39,1.3,1140,444,1039
40,1.3333333333333333,1139,502,1220
41,1.3666666666666667,1138,544,1795
42,1.4,1152,579,2262
43,1.4333333333333333,1164,590,3176
44,1.4666666666666666,1158,584,3022
45,1.5,1152,575,2675
46,1.5333333333333334,1140,543,1745
47,1.5666666666666667,1143,540,1680
48,1.6,1146,473,2052
49,1.6333333333333333,1167,514,2132
50,1.6666666666666667,1140,421,439
51,1.7,1140,422,462
52,1.7333333333333334,1140,425,540
53,1.7666666666666666,1140,426,551
54,1.8,1140,423,470
55,1.8333333333333333,1139,442,1120
56,1.8666666666666667,1140,443,1062
57,1.9,1140,443,1068
58,1.9333333333333333,1139,442,1086
59,1.9666666666666666,1139,442,1084
60,2.0,1139,442,1055
61,2.033333333333333,1140,443,1027
62,2.066666666666667,1140,443,1038
63,2.1,1140,443,1039
64,2.1333333333333333,1140,443,1061
65,2.1666666666666665,1140,443,1079
66,2.2,1140,442,1085
67,2.2333333333333334,1138,438,992
68,2.2666666666666666,1139,439,997
69,2.3,1139,440,1060
70,2.3333333333333335,1139,436,943
71,2.3666666666666667,1136,449,1408
72,2.4,1140,426,587
73,2.433333333333333,1141,440,935
74,2.466666666666667,1141,441,1009
75,2.5,1141,443,1008
76,2.533333333333333,1141,444,1040
77,2.566666666666667,1140,444,1146
78,2.6,1140,444,1138
79,2.6333333333333333,1140,445,1175
80,2.6666666666666665,1140,444,1160
81,2.7,1140,445,1136
82,2.7333333333333334,1140,444,1108
83,2.7666666666666666,1140,444,1119
84,2.8,1141,445,1121
85,2.8333333333333335,1141,445,1163
86,2.8666666666666667,1140,437,899
87,2.9,1139,439,974
88,2.933333333333333,1139,437,834
89,2.966666666666667,1140,428,644
90,3.0,1135,446,1309
91,3.033333333333333,1139,430,709
92,3.066666666666667,1139,440,966
93,3.1,1140,442,1007
94,3.1333333333333333,1141,442,915
95,3.1666666666666665,1140,443,961
96,3.2,1140,443,977
97,3.2333333333333334,1140,443,977
98,3.2666666666666666,1140,443,975
99,3.3,1140,443,975
100,3.3333333333333335,1140,443,964
101,3.3666666666666667,1140,445,999
102,3.4,1139,447,1059
103,3.433333333333333,1139,448,1086
104,3.466666666666667,1139,448,1105
105,3.5,1140,447,1103
106,3.533333333333333,1140,447,1090
107,3.566666666666667,1140,447,1051
108,3.6,1140,447,1050
109,3.6333333333333333,1140,446,1044
110,3.6666666666666665,1140,445,1049
111,3.7,1140,445,1054
112,3.7333333333333334,1140,445,1038
113,3.7666666666666666,1140,445,1031
114,3.8,1140,444,1014
115,3.8333333333333335,1140,444,1044
