frame,time,x,y,mask_area
220,7.333333333333333,157,862,156
221,7.366666666666666,153,849,158
222,7.4,150,839,154
223,7.433333333333334,146,834,168
224,7.466666666666667,142,832,159
225,7.5,142,832,159
226,7.533333333333333,139,836,174
227,7.566666666666666,135,844,193
228,7.6,132,856,199
229,7.633333333333334,129,876,295
230,7.666666666666667,130,890,220
231,7.7,130,890,215
232,7.733333333333333,149,882,263
233,7.766666666666667,168,879,202
234,7.8,187,880,204
235,7.833333333333333,204,886,192
236,7.866666666666666,223,897,172
237,7.9,223,897,169
238,7.933333333333334,240,911,167
242,8.066666666666666,355,953,556
243,8.1,355,952,538
244,8.133333333333333,353,950,533
245,8.166666666666666,357,944,331
246,8.2,351,943,143
248,8.266666666666667,673,913,1361
249,8.3,669,901,945
250,8.333333333333334,701,905,1682
251,8.366666666666667,728,911,1806
252,8.4,751,919,1723
253,8.433333333333334,762,922,1185
254,8.466666666666667,762,920,1274
255,8.5,762,920,1272
256,8.533333333333333,761,919,1274
257,8.566666666666666,761,917,1400
258,8.6,762,910,1763
259,8.633333333333333,765,899,1662
260,8.666666666666666,779,902,1643
261,8.7,778,901,1692
262,8.733333333333333,794,905,1213
263,8.766666666666667,793,910,1093
264,8.8,795,909,1128
265,8.833333333333334,794,908,1152
266,8.866666666666667,793,908,1058
267,8.9,793,908,1056
268,8.933333333333334,794,913,717
269,8.966666666666667,779,907,1415
270,9.0,770,903,2056
271,9.033333333333333,758,900,1861
272,9.066666666666666,751,903,2001
273,9.1,751,903,2026
274,9.133333333333333,746,904,2142
275,9.166666666666666,747,900,2256
276,9.2,754,899,1986
277,9.233333333333333,755,910,1815
278,9.266666666666667,754,924,1776
279,9.3,754,924,1789
280,9.333333333333334,753,923,1802
281,9.366666666666667,752,924,1784
282,9.4,751,918,1885
283,9.433333333333334,747,904,2205
284,9.466666666666667,741,887,2029
285,9.5,740,886,1963
286,9.533333333333333,722,862,1950
287,9.566666666666666,702,839,1964
288,9.6,690,825,1810
289,9.633333333333333,675,814,1523
290,9.666666666666666,662,801,1186
291,9.7,659,804,1525
292,9.733333333333333,648,797,947
293,9.766666666666667,641,780,326
296,9.866666666666667,602,757,244
297,9.9,601,756,197
298,9.933333333333334,628,766,398
299,9.966666666666667,635,763,863
300,10.0,644,767,1537
301,10.033333333333333,662,740,575
302,10.066666666666666,673,745,838
303,10.1,673,742,753
304,10.133333333333333,679,737,783
305,10.166666666666666,680,730,805
306,10.2,677,718,901
307,10.233333333333333,669,704,868
308,10.266666666666667,665,698,612
309,10.3,666,701,760
310,10.333333333333334,666,704,562
311,10.366666666666667,668,722,847
312,10.4,674,725,371
313,10.433333333333334,684,750,836
314,10.466666666666667,653,729,142
315,10.5,653,728,142
316,10.533333333333333,664,728,624
317,10.566666666666666,666,724,856
318,10.6,666,726,714
319,10.633333333333333,667,724,793
320,10.666666666666666,667,724,831
321,10.7,667,724,838
322,10.733333333333333,667,724,825
323,10.766666666666667,668,723,933
324,10.8,674,720,960
325,10.833333333333334,687,720,998
326,10.866666666666667,701,722,962
327,10.9,702,722,999
328,10.933333333333334,719,723,813
329,10.966666666666667,724,721,156
330,11.0,759,726,442
331,11.033333333333333,765,727,153
332,11.066666666666666,807,720,857
333,11.1,809,723,629
334,11.133333333333333,825,715,980
335,11.166666666666666,839,717,866
336,11.2,852,717,689
337,11.233333333333333,859,717,631
338,11.266666666666667,864,722,546
339,11.3,864,721,570
340,11.333333333333334,866,723,396
341,11.366666666666667,868,769,552
342,11.4,868,773,694
343,11.433333333333334,869,774,762
344,11.466666666666667,869,774,785
345,11.5,868,774,794
346,11.533333333333333,868,774,813
347,11.566666666666666,869,774,792
348,11.6,868,774,802
349,11.633333333333333,869,774,743
350,11.666666666666666,873,775,674
351,11.7,873,775,670
352,11.733333333333333,877,777,756
353,11.766666666666667,878,779,819
354,11.8,878,779,820
355,11.833333333333334,878,780,822
356,11.866666666666667,878,779,816
357,11.9,878,779,811
358,11.933333333333334,878,779,848
359,11.966666666666667,879,780,1034
360,12.0,882,781,1049
361,12.033333333333333,881,782,1080
362,12.066666666666666,882,782,1090
363,12.1,882,782,1072
364,12.133333333333333,882,782,1067
365,12.166666666666666,881,782,1064
366,12.2,879,782,1020
367,12.233333333333333,873,780,937
368,12.266666666666667,860,780,993
369,12.3,859,780,994
370,12.333333333333334,843,775,878
371,12.366666666666667,827,773,857
372,12.4,815,778,985
373,12.433333333333334,808,777,1037
374,12.466666666666667,803,777,991
375,12.5,803,777,998
376,12.533333333333333,800,777,1012
377,12.566666666666666,794,782,759
378,12.6,791,782,760
384,12.8,773,798,648
385,12.833333333333334,768,780,630
386,12.866666666666667,768,780,615
387,12.9,769,780,658
388,12.933333333333334,776,775,801
389,12.966666666666667,767,788,312
390,13.0,767,788,300
391,13.033333333333333,782,788,591
392,13.066666666666666,783,788,663
393,13.1,782,789,637
394,13.133333333333333,784,788,755
395,13.166666666666666,783,791,652
396,13.2,784,790,752
397,13.233333333333333,784,790,698
398,13.266666666666667,784,790,699
399,13.3,784,790,691
400,13.333333333333334,785,789,795
401,13.366666666666667,795,788,481
402,13.4,797,782,857
403,13.433333333333334,802,782,992
404,13.466666666666667,814,780,871
405,13.5,814,780,783
406,13.533333333333333,826,783,664
407,13.566666666666666,839,782,649
408,13.6,852,781,800
409,13.633333333333333,868,779,817
410,13.666666666666666,886,779,892
411,13.7,886,778,808
