frame,time_sec,player_id,x,y,confidence,keypoints,court_region,court_side
0,0.0,1,1476.5,668.5,0.9114891886711121,"[[1400.088623046875, 556.7249145507812, 0.8495519161224365], [1399.81494140625, 547.5775756835938, 0.7934069633483887], [0.0, 0.0, 0.2742106318473816], [1410.619140625, 536.9506225585938, 0.8393248915672302], [0.0, 0.0, 0.09028444439172745], [1447.7515869140625, 543.380615234375, 0.9948210716247559], [1440.1441650390625, 568.3837280273438, 0.9792181253433228], [1494.7386474609375, 567.4454956054688, 0.986535370349884], [1479.1854248046875, 631.6664428710938, 0.878825843334198], [1507.194091796875, 616.8536376953125, 0.9739677309989929], [1480.6123046875, 691.9818115234375, 0.8490880727767944], [1521.9520263671875, 608.5203857421875, 0.9978145360946655], [1518.102294921875, 620.063232421875, 0.9957970380783081], [1516.17724609375, 701.3959350585938, 0.9950340986251831], [1520.19189453125, 706.0313110351562, 0.9887917041778564], [1507.8172607421875, 796.2081298828125, 0.9716659784317017], [1533.3006591796875, 783.5364990234375, 0.9526939988136292]]",Middle,Right
0,0.0,2,373.0,666.0,0.9045454263687134,"[[0.0, 0.0, 0.02616867795586586], [0.0, 0.0, 0.012497801333665848], [0.0, 0.0, 0.015028667636215687], [341.0423583984375, 482.8726501464844, 0.6661036610603333], [379.41070556640625, 481.81439208984375, 0.7433480024337769], [326.4714660644531, 523.5203857421875, 0.9971644282341003], [411.3497314453125, 521.157958984375, 0.997448205947876], [309.7330322265625, 592.625732421875, 0.9523073434829712], [445.9327697753906, 587.7692260742188, 0.9689938426017761], [303.5391540527344, 590.9727172851562, 0.6761232018470764], [409.07275390625, 596.9603881835938, 0.754774808883667], [352.34326171875, 643.184814453125, 0.9998059868812561], [407.5741882324219, 642.8032836914062, 0.999812662601471], [354.7560119628906, 740.2984619140625, 0.9991859793663025], [402.1614074707031, 742.1420288085938, 0.9992276430130005], [368.0047912597656, 831.4129028320312, 0.996514618396759], [395.74322509765625, 839.0059204101562, 0.9965153932571411]]",Middle,Left
1,0.03333333333333333,1,1473.0132,668.0753,0.9143207669258118,"[[1397.353271484375, 557.297119140625, 0.819610595703125], [1396.6356201171875, 548.3004150390625, 0.754338800907135], [0.0, 0.0, 0.23980776965618134], [1406.642578125, 537.332763671875, 0.8156547546386719], [0.0, 0.0, 0.08874695748090744], [1445.972412109375, 543.9374389648438, 0.9944041967391968], [1437.8818359375, 564.8416137695312, 0.9728772640228271], [1494.88134765625, 568.9496459960938, 0.9857838153839111], [1477.5318603515625, 624.3487548828125, 0.837880551815033], [1507.1512451171875, 618.0557861328125, 0.9710317254066467], [1480.108642578125, 689.6973876953125, 0.8047523498535156], [1521.26611328125, 610.0834350585938, 0.9977237582206726], [1517.3701171875, 619.590576171875, 0.995201826095581], [1511.146484375, 703.3671875, 0.9952601790428162], [1517.36376953125, 704.9845581054688, 0.9880202412605286], [1504.2579345703125, 800.1243896484375, 0.9745866060256958], [1534.2366943359375, 785.1839599609375, 0.9536440968513489]]",Middle,Right
1,0.03333333333333333,2,369.9388,665.54736,0.9038891196250916,"[[0.0, 0.0, 0.027571024373173714], [0.0, 0.0, 0.013948868960142136], [0.0, 0.0, 0.015286128968000412], [338.0296630859375, 480.1322021484375, 0.6984309554100037], [376.5298156738281, 479.68804931640625, 0.7393043041229248], [323.7896728515625, 520.6952514648438, 0.9976352453231812], [408.4190368652344, 520.6825561523438, 0.9975512623786926], [307.8454284667969, 590.44140625, 0.9634605050086975], [442.995849609375, 585.1649780273438, 0.971625030040741], [296.7898864746094, 595.1231079101562, 0.7308575510978699], [407.1043395996094, 585.850830078125, 0.7794787883758545], [347.264404296875, 644.4266357421875, 0.999834418296814], [402.73065185546875, 645.4077758789062, 0.9998284578323364], [348.4237976074219, 739.67333984375, 0.999279797077179], [398.31463623046875, 745.7052612304688, 0.9992682337760925], [363.84710693359375, 832.4957885742188, 0.996775209903717], [394.88238525390625, 844.7645263671875, 0.9965852499008179]]",Middle,Left
2,0.06666666666666667,1,1472.0269,666.8355,0.9126308560371399,"[[1393.2493896484375, 555.2421264648438, 0.8463480472564697], [1393.041015625, 546.227783203125, 0.7863504886627197], [0.0, 0.0, 0.25945788621902466], [1404.2706298828125, 535.9276123046875, 0.8204349279403687], [0.0, 0.0, 0.0834117978811264], [1444.689453125, 543.8124389648438, 0.9945334196090698], [1434.918212890625, 562.2410888671875, 0.9689268469810486], [1494.626220703125, 569.4830932617188, 0.9859709143638611], [1477.6322021484375, 621.6676025390625, 0.805356502532959], [1506.62255859375, 619.0896606445312, 0.9717605113983154], [1481.091552734375, 687.6766357421875, 0.7809128761291504], [1520.4200439453125, 609.7828369140625, 0.9973242282867432], [1515.345947265625, 617.5767822265625, 0.9938779473304749], [1507.7711181640625, 704.552001953125, 0.9945059418678284], [1513.6981201171875, 702.092041015625, 0.9846612811088562], [1498.72021484375, 800.6771850585938, 0.9702446460723877], [1533.395751953125, 779.5665283203125, 0.942129909992218]]",Middle,Right
2,0.06666666666666667,2,365.14752,665.0863,0.892717719078064,"[[0.0, 0.0, 0.027563724666833878], [0.0, 0.0, 0.015777651220560074], [0.0, 0.0, 0.012995323166251183], [335.1136474609375, 477.83245849609375, 0.7212070822715759], [374.031005859375, 476.87493896484375, 0.692345142364502], [322.20654296875, 517.0206909179688, 0.9984762072563171], [408.5301818847656, 517.3380126953125, 0.9963016510009766], [307.6778259277344, 586.5107421875, 0.9837141633033752], [438.7261047363281, 581.815673828125, 0.9596853852272034], [286.93267822265625, 599.57568359375, 0.8476569652557373], [410.6657409667969, 581.8253784179688, 0.751980721950531], [348.68585205078125, 644.0777587890625, 0.9997726082801819], [406.5348815917969, 644.4732666015625, 0.9996384382247925], [341.35919189453125, 739.8103637695312, 0.9976502060890198], [396.8440246582031, 745.2041015625, 0.9962419271469116], [352.3531188964844, 837.6300659179688, 0.9839128851890564], [394.9653625488281, 847.405517578125, 0.9761752486228943]]",Middle,Left
3,0.1,1,1471.8005,666.4348,0.9125450849533081,"[[1393.2681884765625, 555.2532958984375, 0.846423864364624], [1393.0615234375, 546.2446899414062, 0.7864086031913757], [0.0, 0.0, 0.25982436537742615], [1404.272705078125, 535.94189453125, 0.8199933171272278], [0.0, 0.0, 0.08352258801460266], [1444.6820068359375, 543.8115234375, 0.9945271611213684], [1434.9091796875, 562.180908203125, 0.9687548279762268], [1494.62109375, 569.4920043945312, 0.9859493374824524], [1477.654296875, 621.5851440429688, 0.8040590286254883], [1506.5894775390625, 619.138916015625, 0.9717121124267578], [1481.150146484375, 687.640869140625, 0.7797855138778687], [1520.41552734375, 609.72998046875, 0.9973234534263611], [1515.3414306640625, 617.4862060546875, 0.9938627481460571], [1507.6876220703125, 704.46044921875, 0.994534969329834], [1513.6480712890625, 701.9177856445312, 0.9846998453140259], [1498.704833984375, 800.6643676757812, 0.9704950451850891], [1533.382568359375, 779.4403076171875, 0.9424855709075928]]",Middle,Right
3,0.1,2,363.70013,664.9743,0.892622172832489,"[[0.0, 0.0, 0.027561206370592117], [0.0, 0.0, 0.015770411118865013], [0.0, 0.0, 0.013001207262277603], [335.1125793457031, 477.8271789550781, 0.7210929989814758], [374.01434326171875, 476.8766784667969, 0.6924064755439758], [322.2140808105469, 517.0152587890625, 0.9984725117683411], [408.5106201171875, 517.336181640625, 0.996303915977478], [307.67828369140625, 586.513671875, 0.9836386442184448], [438.7185974121094, 581.8380737304688, 0.959666907787323], [286.980712890625, 599.3956909179688, 0.8470779657363892], [410.6610107421875, 581.7963256835938, 0.7516951560974121], [348.6824035644531, 644.1109008789062, 0.9997721314430237], [406.51483154296875, 644.5111694335938, 0.9996381998062134], [341.3197021484375, 739.857421875, 0.9976463913917542], [396.8238830566406, 745.2592163085938, 0.996241569519043], [352.29644775390625, 837.6934204101562, 0.9839001893997192], [394.9598693847656, 847.498779296875, 0.9761835932731628]]",Middle,Left
4,0.13333333333333333,1,1469.1846,665.2506,0.9191218018531799,"[[1388.029052734375, 551.6160888671875, 0.8580808043479919], [1388.3804931640625, 542.6329345703125, 0.8148502707481384], [0.0, 0.0, 0.2736578583717346], [1400.3077392578125, 533.222412109375, 0.8287240266799927], [0.0, 0.0, 0.07690922915935516], [1441.7713623046875, 542.5928344726562, 0.9943720102310181], [1430.373046875, 556.2607421875, 0.9567617774009705], [1493.690673828125, 570.2486572265625, 0.9851455688476562], [1476.17578125, 611.4984130859375, 0.713657557964325], [1501.25244140625, 620.6163330078125, 0.9695656299591064], [1474.98974609375, 676.3984985351562, 0.706718921661377], [1516.52880859375, 605.7653198242188, 0.9971585273742676], [1510.128173828125, 611.0406494140625, 0.9924586415290833], [1499.6884765625, 702.7360229492188, 0.9953497052192688], [1503.8580322265625, 697.716064453125, 0.9844637513160706], [1496.5074462890625, 802.53662109375, 0.9777492880821228], [1528.583984375, 779.8150634765625, 0.9500839114189148]]",Middle,Right
4,0.13333333333333333,2,359.70337,664.1963,0.8827290534973145,"[[0.0, 0.0, 0.036874521523714066], [0.0, 0.0, 0.01935749128460884], [0.0, 0.0, 0.017927946522831917], [333.0232238769531, 476.6009216308594, 0.721232533454895], [369.9866027832031, 476.0763244628906, 0.7206997871398926], [320.21453857421875, 515.817626953125, 0.9986453652381897], [404.297119140625, 515.7546997070312, 0.9967345595359802], [305.13946533203125, 585.0311279296875, 0.9853901863098145], [438.1173095703125, 578.083984375, 0.9651122689247131], [281.3232421875, 598.0317993164062, 0.8701474666595459], [416.211669921875, 579.104248046875, 0.7893383502960205], [346.41082763671875, 639.3989868164062, 0.9998088479042053], [403.04766845703125, 639.8390502929688, 0.9996968507766724], [338.4432067871094, 735.5765991210938, 0.99830162525177], [397.1346130371094, 741.19140625, 0.9972817897796631], [342.3607482910156, 833.6708984375, 0.9887423515319824], [393.9214782714844, 845.138671875, 0.9831741452217102]]",Middle,Left
5,0.16666666666666666,1,1463.6982,663.458,0.9113714098930359,"[[1385.295166015625, 548.3785400390625, 0.853340208530426], [1386.228759765625, 539.380859375, 0.8402180671691895], [0.0, 0.0, 0.24921497702598572], [1399.404541015625, 530.1329345703125, 0.8487929701805115], [0.0, 0.0, 0.05473122373223305], [1439.43359375, 540.2828369140625, 0.9935196042060852], [1427.177734375, 551.1691284179688, 0.9224721789360046], [1490.3671875, 570.2999877929688, 0.983916699886322], [1472.174560546875, 600.7269287109375, 0.5322953462600708], [1494.1778564453125, 626.5968017578125, 0.965055525302887], [1466.45556640625, 660.7378540039062, 0.5623227953910828], [1514.3160400390625, 603.6810302734375, 0.9963043928146362], [1506.4381103515625, 608.0478515625, 0.9875814914703369], [1497.3948974609375, 702.4669189453125, 0.994662344455719], [1496.72119140625, 699.1279296875, 0.9767541885375977], [1499.55419921875, 801.25634765625, 0.9773830771446228], [1517.81298828125, 782.5438232421875, 0.9381876587867737]]",Middle,Right
5,0.16666666666666666,2,352.8,662.526,0.8999417424201965,"[[0.0, 0.0, 0.04065808653831482], [0.0, 0.0, 0.022689444944262505], [0.0, 0.0, 0.01866876892745495], [330.1720886230469, 475.8062744140625, 0.7356221079826355], [366.501220703125, 473.61328125, 0.7099671959877014], [319.33306884765625, 517.4606323242188, 0.9988617897033691], [401.0993957519531, 514.463623046875, 0.9962942004203796], [304.9100036621094, 586.419677734375, 0.9899215698242188], [433.12847900390625, 576.5343017578125, 0.9621015787124634], [277.10723876953125, 601.3543090820312, 0.9064483046531677], [410.53912353515625, 584.1273803710938, 0.7946873307228088], [345.27874755859375, 642.2308349609375, 0.9998055100440979], [400.7894287109375, 641.0285034179688, 0.9996427297592163], [337.689697265625, 738.5626220703125, 0.9980858564376831], [396.50970458984375, 741.519287109375, 0.9964284300804138], [339.2211608886719, 836.0667724609375, 0.9858239889144897], [395.45452880859375, 844.247802734375, 0.9763887524604797]]",Middle,Left
6,0.2,1,1457.9614,661.815,0.9123182892799377,"[[1383.4632568359375, 545.0975341796875, 0.9039121270179749], [1383.5531005859375, 535.7674560546875, 0.922476589679718], [0.0, 0.0, 0.21796751022338867], [1398.7930908203125, 524.2061767578125, 0.925269603729248], [0.0, 0.0, 0.018138593062758446], [1440.777099609375, 535.916259765625, 0.992980420589447], [1424.187255859375, 549.60400390625, 0.949195146560669], [1488.2647705078125, 571.4740600585938, 0.986659049987793], [1465.368408203125, 601.490234375, 0.6541479825973511], [1488.8626708984375, 627.7073364257812, 0.9762162566184998], [1453.814697265625, 661.587158203125, 0.6859424114227295], [1509.20166015625, 606.9700927734375, 0.9965597987174988], [1498.456298828125, 612.8244018554688, 0.9910504817962646], [1491.7608642578125, 700.0599975585938, 0.9948428273200989], [1487.35595703125, 701.0447387695312, 0.9824745059013367], [1502.766845703125, 795.8140869140625, 0.9743432402610779], [1513.5682373046875, 785.0592041015625, 0.9442958831787109]]",Middle,Right
6,0.2,2,347.3713,662.68054,0.907969057559967,"[[0.0, 0.0, 0.03015768900513649], [0.0, 0.0, 0.018056849017739296], [0.0, 0.0, 0.012689735740423203], [326.838134765625, 476.8084716796875, 0.7398389577865601], [364.80059814453125, 474.65264892578125, 0.6690545082092285], [318.0762939453125, 517.3298950195312, 0.9989022016525269], [398.09539794921875, 516.2278442382812, 0.9957960844039917], [304.21881103515625, 584.4898681640625, 0.9904394149780273], [428.52471923828125, 577.8674926757812, 0.9503180980682373], [275.60638427734375, 606.4754638671875, 0.9017226099967957], [398.58843994140625, 585.2880249023438, 0.7393243908882141], [341.23760986328125, 640.715087890625, 0.9998250603675842], [396.2471008300781, 640.380615234375, 0.9996554851531982], [333.922607421875, 735.7996826171875, 0.9983189702033997], [394.898193359375, 741.6243896484375, 0.9966057538986206], [333.7287902832031, 831.6099243164062, 0.9875690340995789], [395.1936950683594, 842.6603393554688, 0.9779989719390869]]",Middle,Left
7,0.23333333333333334,1,1451.1921,659.8994,0.906359851360321,"[[1380.6578369140625, 538.5192260742188, 0.9219964742660522], [1381.056396484375, 528.72119140625, 0.9271531105041504], [0.0, 0.0, 0.2967313528060913], [1396.6295166015625, 519.2012329101562, 0.9163296222686768], [0.0, 0.0, 0.02651364356279373], [1439.05029296875, 534.6846923828125, 0.9931226372718811], [1417.900634765625, 550.353271484375, 0.970344603061676], [1486.2108154296875, 572.496337890625, 0.986425518989563], [1456.8675537109375, 600.9834594726562, 0.8188342452049255], [1483.84765625, 626.132568359375, 0.977803111076355], [1442.943115234375, 648.2405395507812, 0.8249362111091614], [1503.6474609375, 608.4659423828125, 0.9962792992591858], [1489.279541015625, 614.9213256835938, 0.9926583170890808], [1487.2781982421875, 698.3985595703125, 0.9921404719352722], [1476.79150390625, 701.03515625, 0.9808518290519714], [1497.87109375, 796.64990234375, 0.95414137840271], [1496.65185546875, 788.9140625, 0.9223415851593018]]",Middle,Right
