frame,time_sec,x,y,confidence,estimated,velocity_x,velocity_y,speed,court_region,court_side
180,6.0,1087,719,0.36284971237182617,False,0.0,0.0,0.0,Back,Right
308,10.266666666666667,856,543,0.33746621012687683,False,-0.3489741397595231,-0.26588505886439856,0.43872293620031294,Middle,Left
309,10.3,856,543,0.3425644338130951,False,-48.26227493965232,-36.77125709687799,60.674315248178054,Middle,Left
310,10.333333333333334,820,466,0.6036519408226013,False,-76.03351345454418,-73.22092623118719,105.55756347318417,Middle,Left
311,10.366666666666667,788.0097659541599,450.585748871774,0.5936519408226013,True,-76.03351345454418,-73.22092623118719,105.55756347318417,Middle,Left
312,10.4,772,354,0.46789395809173584,False,-67.0323640936937,-76.72471043553658,101.88237839492388,Front,Left
313,10.433333333333334,669.8462126020133,290.94664233004215,0.45789395809173583,True,-67.0323640936937,-76.72471043553658,101.88237839492388,Front,Left
314,10.466666666666667,602.8138485083197,214.2219318945056,0.4378939580917358,True,-67.0323640936937,-76.72471043553658,101.88237839492388,Front,Left
315,10.5,535.781484414626,137.49722145896902,0.4078939580917358,True,-67.0323640936937,-76.72471043553658,101.88237839492388,Front,Left
316,10.533333333333333,468.7491203209323,60.77251102343244,0.3678939580917358,True,-67.0323640936937,-76.72471043553658,101.88237839492388,Front,Left
398,13.266666666666667,1437,188,0.4400315284729004,False,-18.461375365169545,-28.50120654067058,33.95793213150136,Front,Right
399,13.3,1483,227,0.4749602973461151,False,1284.9316588891443,1266.8055699678596,1804.396220378773,Front,Right
400,13.333333333333334,1532,273,0.5206069946289062,False,1509.5794398607036,1491.9392096590389,2122.4308447080657,Front,Right
412,13.733333333333333,781,548,0.2571406662464142,False,1021.4020873882181,1038.5544085146435,1456.6597006734999,Middle,Left
469,15.633333333333333,1059,313,0.4944247901439667,False,141.93468182245772,159.25061430836809,213.32185087710758,Front,Right
470,15.666666666666666,1039,343,0.45291367173194885,False,-10875.223004618125,-10985.641596563008,15458.162785024315,Front,Right
472,15.733333333333333,1524.9492001972249,865.9240081089301,0.4229136717319488,True,-10875.223004618125,-10985.641596563008,15458.162785024315,Back,Right
583,19.433333333333334,1207,550,0.5390761494636536,False,-2618.925081580175,-2645.479678504171,3722.543661571783,Middle,Right
689,22.966666666666665,1137,545,0.37911123037338257,False,1174.8639954845416,1187.121262920772,1670.1982818709012,Middle,Right
813,27.1,822,687,0.3580770492553711,False,2556.6682076511465,2603.5930495607754,3649.006589708397,Middle,Left
814,27.133333333333333,822,687,0.35652801394462585,False,71863.27792481036,72406.84958304749,102015.1095703014,Middle,Left
816,27.2,860,546,0.5317609310150146,False,74741.32376228331,75259.15246821474,106066.98594743064,Middle,Left
819,27.3,776,354,0.5113968253135681,False,45363.73067521067,45647.880079345545,64355.24078512457,Front,Left
879,29.3,539,285,0.32975372672080994,False,22697.96081706899,22848.905157285946,32206.67465200106,Front,Left
893,29.766666666666666,387,373,0.4825526773929596,False,-62118.16961599188,-62501.79259153051,88120.03786651386,Middle,Left
894,29.8,387,374,0.4797421395778656,False,-271233.29399041244,-272943.00020882103,384792.64693063195,Middle,Left
908,30.266666666666666,565,267,0.4880460798740387,False,-135758.2828752187,-136627.68595464076,192606.94675568645,Front,Left
1065,35.5,584,1045,0.4219367504119873,False,-45748.32817740459,-46039.57941818093,64904.178633047195,Back,Left
1071,35.7,597,1049,0.2600574195384979,False,548472.4291096893,551996.8908376457,778153.3094370998,Back,Left
1076,35.86666666666667,607,1045,0.2528410255908966,False,932914.0718692819,938906.4610520191,1323583.7744914186,Back,Left
1129,37.63333333333333,780,555,0.2761686444282532,False,602435.7890232224,606308.5106196015,854715.6778401763,Middle,Left
1272,42.4,979,466,0.4536026418209076,False,83199.86290207983,83750.52058412402,118052.39042491541,Middle,Right
1285,42.833333333333336,767,476,0.46460670232772827,False,-2370268.4055741583,-2385545.73241696,3362885.7780061206,Middle,Left
1348,44.93333333333333,528,364,0.3353848457336426,False,-1511364.3294080324,-1521106.5174274468,2144291.765028082,Middle,Left
1349,44.96666666666667,528,364,0.33579036593437195,False,16441868.664654879,16547825.193150124,23327356.554243647,Middle,Left
1556,51.86666666666667,587,538,0.4674685001373291,False,5393569.527877433,5428354.905640228,7652295.683887047,Middle,Left
1584,52.8,1137,546,0.4069574773311615,False,-24795428.331849813,-24955241.023414973,35179217.17003711,Middle,Right
1585,52.833333333333336,1138,548,0.4063921272754669,False,-277350901.7815045,-279138735.3959874,393499626.83271354,Middle,Right
1586,52.86666666666667,1139,548,0.42378437519073486,False,-366519109.65578914,-368881743.17561615,520009613.55647415,Middle,Right
1588,52.93333333333333,1139,548,0.3716937005519867,False,-317351363.87487924,-319397059.0509454,450251451.3953721,Middle,Right
1589,52.96666666666667,1139,548,0.37430721521377563,False,-252441736.78985155,-254069017.37654036,358159037.39003634,Middle,Right
1590,53.0,1139,548,0.35342854261398315,False,-178841267.49143153,-179994109.93513203,253736238.18698457,Middle,Right
1594,53.13333333333333,1138,546,0.4511989653110504,False,-46858644.94929126,-47160706.81221053,66482064.29941101,Middle,Right
1595,53.166666666666664,1138,546,0.4515704810619354,False,48819451.73366958,49134146.28663702,69264010.84901696,Middle,Right
1596,53.2,1137,546,0.47750112414360046,False,117862124.30508111,118621879.71490167,167220305.86266428,Middle,Right
1598,53.266666666666666,1138,545,0.49389952421188354,False,128676282.39262731,129505748.78072315,182563207.18491703,Middle,Right
1599,53.3,1137,544,0.46418312191963196,False,116925816.19050074,117679537.90396976,165891892.90952894,Middle,Right
1600,53.333333333333336,1137,544,0.39146727323532104,False,96183611.55971983,96803626.21709433,136463288.7682617,Middle,Right
1601,53.36666666666667,1137,544,0.38483256101608276,False,69945473.62121049,70396353.44811547,99237169.7444433,Middle,Right
1717,57.233333333333334,528,194,0.4304283559322357,False,24592284.177323952,24750827.16220569,34891028.73621867,Front,Left
1730,57.666666666666664,418,271,0.5204751491546631,False,-189043568.09526896,-190262181.91666558,268211052.16951993,Front,Left
1734,57.8,378,369,0.4248453974723816,False,-362331837.0168328,-364667510.09962946,514068821.3053346,Middle,Left
