Metric,Value
Game Duration,57.80 seconds
Average Ball Speed,72226361.53 pixels/frame
Maximum Ball Speed,520009613.56 pixels/frame
Ball in Front Court,28.8%
Ball in Middle Court,61.5%
Ball in Back Court,9.6%
Ball on Left Side,55.8%
Ball on Right Side,44.2%
Player 1 Total Movement,12756.75 pixels
Player 1 in Front Court,0.0%
Player 1 in Middle Court,82.8%
Player 1 in Back Court,17.2%
Player 1 on Left Side,54.9%
Player 1 on Right Side,45.1%
Player 2 Total Movement,12818.85 pixels
Player 2 in Front Court,0.0%
Player 2 in Middle Court,85.1%
Player 2 in Back Court,14.9%
Player 2 on Left Side,82.5%
Player 2 on Right Side,17.5%
Player 1 Avg Reaction Time,1.02 seconds
Player 2 Avg Reaction Time,1.27 seconds
Estimated Shot Count,10
Average Rally Length,N/A
Longest Rally,N/A
