Frame count,Player 1 Keypoints,Player 2 Keypoints,Ball Position,Shot Type,Player 1 RL World Position,Player 2 RL World Position,Ball RL World Position,Who Hit the Ball
2,"[[[    0.29679     0.66552]
  [    0.29855      0.6571]
  [          0           0]
  [    0.30716      0.6514]
  [          0           0]
  [    0.32732     0.67631]
  [    0.31577     0.67906]
  [     0.3493     0.72266]
  [          0           0]
  [    0.33535     0.75611]
  [    0.30725     0.75279]
  [    0.34435     0.77491]
  [    0.33705     0.77438]
  [     0.3235     0.84834]
  [    0.32117      0.8472]
  [    0.34167     0.93211]
  [    0.33864     0.92668]]]","[[[    0.41714     0.58216]
  [    0.42029     0.57457]
  [          0           0]
  [    0.42923     0.57572]
  [          0           0]
  [    0.43103     0.61555]
  [    0.45814     0.61013]
  [    0.42575     0.67606]
  [    0.47257      0.6671]
  [    0.41407       0.726]
  [    0.46437     0.71893]
  [    0.44676     0.72019]
  [    0.46496     0.71776]
  [    0.44761      0.7964]
  [    0.46772     0.79366]
  [    0.46453     0.87986]
  [    0.48446     0.87223]]]","[0, 0]"
3,"[[[    0.29082     0.66874]
  [    0.29179     0.65965]
  [          0           0]
  [    0.29974     0.65314]
  [          0           0]
  [    0.32003     0.67589]
  [    0.30935     0.68018]
  [    0.34008     0.72137]
  [          0           0]
  [    0.32937      0.7571]
  [    0.31489     0.75675]
  [    0.34227     0.77827]
  [    0.33492     0.77886]
  [    0.31734     0.84666]
  [    0.31455     0.84616]
  [    0.32941     0.93299]
  [    0.32604     0.92914]]]","[[[    0.41952     0.58356]
  [    0.42288     0.57482]
  [          0           0]
  [    0.43263      0.5774]
  [          0           0]
  [    0.42874     0.61821]
  [    0.45979     0.60717]
  [    0.42267     0.67754]
  [    0.47681     0.66063]
  [    0.41572     0.72669]
  [          0           0]
  [    0.44517     0.71693]
  [    0.46659     0.71283]
  [    0.44781     0.79672]
  [     0.4776     0.78854]
  [    0.46142     0.88131]
  [    0.49012     0.86774]]]","[0, 0]"
4,"[[[    0.28471     0.66731]
  [    0.28687     0.65884]
  [          0           0]
  [    0.29574      0.6566]
  [          0           0]
  [    0.31024     0.68124]
  [    0.29808     0.69061]
  [     0.3348     0.71977]
  [    0.31516     0.73453]
  [    0.32826     0.75955]
  [    0.31307     0.76728]
  [     0.3341     0.77481]
  [      0.326     0.77717]
  [    0.30946     0.85104]
  [    0.30668     0.85149]
  [    0.33012     0.92852]
  [    0.32486     0.92022]]]","[[[    0.42194     0.57437]
  [     0.4254     0.56552]
  [          0           0]
  [    0.43438     0.57063]
  [          0           0]
  [     0.4303     0.61388]
  [    0.46276     0.60374]
  [    0.42367     0.67412]
  [    0.47761     0.65926]
  [    0.41824     0.72044]
  [          0           0]
  [    0.44787     0.71425]
  [    0.47089     0.71073]
  [    0.45044     0.79233]
  [    0.48282     0.78449]
  [    0.46294     0.87684]
  [    0.49625     0.86343]]]","[0, 0]"
5,"[[[     0.2847     0.66729]
  [    0.28685     0.65881]
  [          0           0]
  [     0.2957     0.65659]
  [          0           0]
  [    0.31026     0.68127]
  [    0.29815     0.69062]
  [    0.33482     0.71983]
  [    0.31521     0.73451]
  [    0.32823     0.75959]
  [    0.31308     0.76729]
  [    0.33408      0.7749]
  [    0.32601     0.77723]
  [    0.30944     0.85108]
  [    0.30667     0.85152]
  [    0.33007     0.92845]
  [     0.3248     0.92021]]]","[[[    0.42194     0.57449]
  [    0.42539     0.56562]
  [          0           0]
  [    0.43431     0.57071]
  [          0           0]
  [    0.43026     0.61393]
  [    0.46274     0.60378]
  [    0.42365     0.67419]
  [    0.47757     0.65927]
  [    0.41824     0.72062]
  [          0           0]
  [    0.44786      0.7143]
  [    0.47089      0.7108]
  [    0.45054     0.79237]
  [    0.48289      0.7846]
  [    0.46306     0.87693]
  [    0.49632     0.86364]]]","[0, 0]"
6,"[[[    0.27811     0.66894]
  [    0.28027     0.66024]
  [          0           0]
  [    0.28891     0.65834]
  [          0           0]
  [    0.30663     0.68449]
  [    0.28745     0.69291]
  [    0.33231      0.7247]
  [    0.30249      0.7361]
  [    0.32258     0.75916]
  [    0.29996     0.76973]
  [    0.33102     0.78048]
  [    0.31712     0.78195]
  [    0.30883     0.85364]
  [      0.292     0.85225]
  [     0.3297     0.93629]
  [    0.30701     0.92713]]]","[[[          0           0]
  [          0           0]
  [          0           0]
  [    0.43413     0.56515]
  [          0           0]
  [    0.43325     0.60702]
  [     0.4647     0.59684]
  [    0.42416     0.66249]
  [    0.47885     0.65472]
  [    0.41798     0.69365]
  [          0           0]
  [    0.45236     0.71244]
  [     0.4743       0.709]
  [    0.45154     0.79261]
  [    0.48002     0.78468]
  [    0.46053     0.87438]
  [    0.49159     0.86362]]]","[0, 0]"
7,"[[[    0.27425     0.67767]
  [    0.27509     0.66881]
  [          0           0]
  [    0.28192     0.66332]
  [          0           0]
  [    0.29995     0.68298]
  [    0.28984     0.69075]
  [    0.32528     0.72595]
  [          0           0]
  [    0.31686      0.7577]
  [    0.30487     0.75356]
  [    0.32354     0.77965]
  [    0.31524      0.7823]
  [    0.30585     0.84628]
  [     0.2913     0.84805]
  [    0.32269     0.93607]
  [    0.29998     0.93513]]]","[[[          0           0]
  [    0.43005     0.55258]
  [          0           0]
  [    0.43751     0.55726]
  [          0           0]
  [    0.43682     0.60081]
  [    0.46837     0.59061]
  [    0.42692     0.65669]
  [     0.4824     0.65181]
  [    0.41815     0.67416]
  [          0           0]
  [    0.45399     0.71015]
  [    0.47581     0.70614]
  [    0.45184     0.79141]
  [    0.47952     0.78239]
  [     0.4595     0.87307]
  [    0.48877     0.86052]]]","[0, 0]"
8,"[[[    0.26071     0.69157]
  [    0.26129     0.68319]
  [          0           0]
  [    0.27027     0.67601]
  [          0           0]
  [    0.29119     0.69302]
  [    0.28578     0.69409]
  [     0.3097     0.73921]
  [          0           0]
  [    0.30194     0.76445]
  [          0           0]
  [    0.32013     0.78007]
  [    0.31629     0.77941]
  [     0.2915      0.8507]
  [    0.29376     0.84918]
  [    0.29992     0.94026]
  [    0.30375     0.93448]]]","[[[          0           0]
  [          0           0]
  [          0           0]
  [    0.43989     0.55467]
  [          0           0]
  [     0.4408     0.59697]
  [    0.47019     0.58979]
  [     0.4301     0.65428]
  [    0.47965     0.64334]
  [    0.41558     0.67069]
  [    0.46564       0.666]
  [    0.45713     0.71023]
  [    0.47706     0.70671]
  [    0.45252     0.78116]
  [    0.47893     0.77789]
  [    0.46105     0.86917]
  [    0.48755     0.86099]]]","[0, 0]"
9,"[[[    0.25477     0.70448]
  [    0.25484     0.69558]
  [          0           0]
  [    0.26276     0.68411]
  [          0           0]
  [    0.28482     0.69998]
  [     0.2803       0.697]
  [    0.30032     0.74787]
  [    0.29276     0.74695]
  [    0.29433     0.78189]
  [    0.28547      0.7745]
  [    0.31374     0.78801]
  [    0.31018     0.78608]
  [    0.28977       0.869]
  [    0.28811     0.86616]
  [      0.293     0.94547]
  [    0.28672     0.93663]]]","[[[    0.43258     0.55751]
  [    0.43537       0.548]
  [          0           0]
  [    0.44472     0.55027]
  [          0           0]
  [    0.44439     0.59285]
  [    0.47448     0.58367]
  [    0.43185     0.64893]
  [          0           0]
  [    0.42169     0.65799]
  [          0           0]
  [    0.45889     0.70615]
  [    0.47942     0.70228]
  [    0.45609     0.78769]
  [     0.4803     0.78107]
  [    0.46185     0.86803]
  [    0.48221     0.85732]]]","[0, 0]"
10,"[[[          0           0]
  [    0.24734     0.70316]
  [          0           0]
  [    0.25206     0.69393]
  [          0           0]
  [    0.27472     0.71126]
  [    0.27709     0.70349]
  [     0.2911     0.76552]
  [    0.28871     0.75858]
  [    0.28236     0.79484]
  [    0.27953     0.78565]
  [    0.30697     0.79679]
  [    0.30843     0.79305]
  [    0.28352     0.87873]
  [    0.28747     0.87431]
  [    0.28826       0.948]
  [    0.28978      0.9358]]]","[[[    0.43564     0.55755]
  [    0.43776        0.55]
  [          0           0]
  [    0.44509     0.55175]
  [          0           0]
  [    0.44667     0.59287]
  [     0.4744     0.58635]
  [    0.43641     0.64779]
  [    0.48068     0.63881]
  [    0.42095     0.65211]
  [          0           0]
  [    0.46148     0.70263]
  [    0.47992     0.69896]
  [     0.4546      0.7767]
  [    0.47595     0.77377]
  [    0.46388     0.86377]
  [    0.48239     0.85516]]]","[0, 0]"
11,"[[[          0           0]
  [    0.24727     0.70324]
  [          0           0]
  [    0.25199     0.69404]
  [          0           0]
  [    0.27475     0.71141]
  [    0.27699     0.70353]
  [    0.29124     0.76575]
  [    0.28863     0.75866]
  [    0.28235     0.79495]
  [    0.27958     0.78565]
  [    0.30691     0.79706]
  [     0.3085     0.79327]
  [     0.2826     0.87895]
  [    0.28823     0.87445]
  [    0.28675     0.94819]
  [    0.29122     0.93589]]]","[[[    0.43635     0.55955]
  [    0.43819     0.55185]
  [          0           0]
  [    0.44503     0.55365]
  [          0           0]
  [    0.44691     0.59532]
  [     0.4751     0.58893]
  [    0.43707     0.64981]
  [    0.48169     0.64059]
  [    0.42156     0.65296]
  [          0           0]
  [    0.46047     0.70665]
  [    0.47953     0.70294]
  [    0.45438     0.77455]
  [    0.47884     0.77152]
  [    0.46228     0.86213]
  [    0.48566     0.85392]]]","[0, 0]"
