frame,time_sec,x,y,confidence,estimated,velocity_x,velocity_y,speed,court_region,court_side
5,0.16666666666666666,1381,727,0.49290966987609863,False,0.0,0.0,0.0,Back,Right
6,0.2,1376,714,0.5657778978347778,False,-2.2727272727272725,-5.909090909090909,6.331085580538236,Back,Right
7,0.23333333333333334,1371,703,0.513210117816925,False,-4.251101321585931,-9.71365638766524,10.603159098307419,Middle,Right
8,0.26666666666666666,1367,694,0.570862352848053,False,-4.2685358255451415,-9.63302180685365,10.536389667494284,Middle,Right
9,0.3,1367,694,0.5706807971000671,False,-2.409514827622333,-5.422718222781123,5.933939216761016,Middle,Right
10,0.3333333333333333,1364,690,0.5560351610183716,False,-2.3558692559264993,-4.131538589456975,4.7560205074402075,Middle,Right
11,0.36666666666666664,1359,690,0.5273436307907104,False,-3.462721014182963,-2.1605241874502505,4.081458267166511,Middle,Right
12,0.4,1355,692,0.5759094953536987,False,-3.886393704827017,-0.05384057202857928,3.8867666300043577,Middle,Right
13,0.43333333333333335,1351,698,0.49069133400917053,False,-4.009818894007295,2.8766723874946365,4.934966219510725,Middle,Right
19,0.6333333333333333,1348,739,0.31851062178611755,False,-3.6055793735730224,19.48998816405265,19.82069224961751,Back,Right
24,0.8,1353,675,0.25425463914871216,False,0.09870448388135467,-12.789996072298965,12.79037693363887,Middle,Right
40,1.3333333333333333,1236,745,0.5029138922691345,False,-48.666681305146156,16.403430586173524,51.35677564111746,Back,Right
41,1.3666666666666667,1370,597,0.5575333833694458,False,19.745994732536943,-47.787460875845156,51.70634124493637,Middle,Right
42,1.4,1190,713,0.3742140233516693,False,-52.375319566707546,9.908513696162117,53.30434075553107,Back,Right
53,1.7666666666666666,1168,685,0.32856371998786926,False,-52.403101271327316,4.186740448559248,52.57008482432369,Middle,Right
79,2.6333333333333333,1101,817,0.3411099314689636,False,-58.569145319241215,57.115118530031296,81.8075885729797,Back,Right
96,3.2,1128,698,0.5029789805412292,False,-23.550414501978906,-7.7906001077716525,24.805553274503477,Middle,Right
180,6.0,1087,719,0.36284971237182617,False,-24.676865643816033,-7.201779912163303,25.706289734346864,Back,Right
188,6.266666666666667,1124,704,0.2762223184108734,False,1.1551750115650457,-10.388371247864384,10.452400991676493,Middle,Right
189,6.3,1124,704,0.2765582799911499,False,5.269666612496717,-6.571324835040503,8.423282987914078,Middle,Right
190,6.333333333333333,1128,690,0.527272641658783,False,5.466774065472895,-9.02681766928585,10.55315383747713,Middle,Right
230,7.666666666666667,691,613,0.3817926049232483,False,-181.25556632189088,-38.15455920320006,185.22783460014824,Middle,Left
231,7.7,691,613,0.3468599021434784,False,-138.01602917157282,-27.239401363262065,140.6783895803379,Middle,Left
238,7.933333333333334,645,619,0.5018223524093628,False,-91.47440040311665,-11.265059202705594,92.16543542972153,Middle,Left
247,8.233333333333333,1122,716,0.3250252306461334,False,156.76021990149044,37.277607541637614,161.13158153382594,Back,Right
248,8.266666666666667,1122,708,0.41700971126556396,False,134.81837162630765,26.814774633541024,137.45917745504224,Middle,Right
249,8.3,1122,708,0.42144227027893066,False,74.00488535722073,13.632737910493505,75.25008039644602,Middle,Right
258,8.6,1157,720,0.4011513888835907,False,46.707467473394274,10.595160789377683,47.89410141062206,Back,Right
259,8.633333333333333,1161,708,0.5323063135147095,False,23.818262481847228,0.5169849241537499,23.823872503561915,Middle,Right
260,8.666666666666666,1165,699,0.532684862613678,False,11.37552792834975,-5.295430473327992,12.547677854747304,Middle,Right
261,8.7,1165,699,0.5352504849433899,False,4.357399553333122,-4.0958249054372935,5.980193351672511,Middle,Right
262,8.733333333333333,1169,693,0.5408518314361572,False,2.9562427372711566,-4.685829741988326,5.540430623387576,Middle,Right
308,10.266666666666667,856,543,0.33746621012687683,False,-130.65296036429973,-66.12550082475033,146.43352727869166,Middle,Left
309,10.3,856,543,0.3425644338130951,False,-99.30959872966423,-49.16078582058187,110.81145817262785,Middle,Left
