frame,time_sec,x,y,confidence,estimated,velocity_x,velocity_y,speed,court_region,court_side
5,0.16666666666666666,1381,727,0.49016791582107544,False,0.0,0.0,0.0,Back,Right
6,0.2,1376,714,0.5651557445526123,False,-2.2727272727272725,-5.909090909090909,6.331085580538236,Back,Right
7,0.23333333333333334,1371,703,0.51587975025177,False,-4.251101321585931,-9.71365638766524,10.603159098307419,Middle,Right
8,0.26666666666666666,1367,694,0.5725968480110168,False,-4.2685358255451415,-9.63302180685365,10.536389667494284,Middle,Right
9,0.3,1367,694,0.5724235773086548,False,-2.409514827622333,-5.422718222781123,5.933939216761016,Middle,Right
10,0.3333333333333333,1364,690,0.557447612285614,False,-2.3558692559264993,-4.131538589456975,4.7560205074402075,Middle,Right
11,0.36666666666666664,1359,690,0.5276802182197571,False,-3.462721014182963,-2.1605241874502505,4.081458267166511,Middle,Right
12,0.4,1355,692,0.5749061107635498,False,-3.886393704827017,-0.05384057202857928,3.8867666300043577,Middle,Right
13,0.43333333333333335,1351,698,0.4916577935218811,False,-4.009818894007295,2.8766723874946365,4.934966219510725,Middle,Right
19,0.6333333333333333,1348,739,0.32880067825317383,False,-3.6055793735730224,19.48998816405265,19.82069224961751,Back,Right
24,0.8,1353,675,0.2501651644706726,False,0.09870448388135467,-12.789996072298965,12.79037693363887,Middle,Right
40,1.3333333333333333,1237,745,0.5098678469657898,False,-48.24459878837589,16.403430586173524,50.956980358404024,Back,Right
41,1.3666666666666667,1370,596,0.5539137125015259,False,19.643036655589988,-48.20954332471949,52.057746365270724,Middle,Right
42,1.4,1190,713,0.33844834566116333,False,-52.528358704996926,10.011471781798058,53.4739005074304,Back,Right
53,1.7666666666666666,1168,685,0.3011949062347412,False,-52.50046739728961,4.339779587768202,52.679528887455696,Middle,Right
79,2.6333333333333333,1101,817,0.3050636351108551,False,-58.61549656633152,57.21248465519362,81.9087592271937,Back,Right
96,3.2,1128,698,0.50364750623703,False,-23.5681132179473,-7.7442488614519505,24.80784857826414,Middle,Right
180,6.0,1087,719,0.370652973651886,False,-24.681989491375706,-7.184081196634674,25.70625659041434,Back,Right
188,6.266666666666667,1124,704,0.27566295862197876,False,1.1544541079940913,-10.383247400499883,10.447228860681287,Middle,Right
189,6.3,1124,704,0.27543947100639343,False,5.270034389926953,-6.570603931538755,8.422950700091109,Middle,Right
190,6.333333333333333,1128,690,0.5274782776832581,False,5.467180562932761,-9.02718544673366,10.553678998218098,Middle,Right
230,7.666666666666667,691,613,0.323687881231308,False,-181.25532450175876,-38.154965700660846,185.22768169972997,Middle,Left
231,7.7,691,613,0.3139841854572296,False,-138.01591875732873,-27.239643183391806,140.6783280793032,Middle,Left
238,7.933333333333334,645,620,0.4953131675720215,False,-91.47436000321647,-10.843087176562289,92.11477122327655,Middle,Left
247,8.233333333333333,1122,716,0.3562244176864624,False,156.76023077599567,37.17460905580229,161.10779469471723,Back,Right
248,8.266666666666667,1122,708,0.4258950650691986,False,134.8183726508202,26.66172462045693,137.4294042916308,Middle,Right
249,8.3,1122,708,0.42634910345077515,False,74.00488419449297,13.535370761344744,75.2325005983942,Middle,Right
258,8.6,1157,720,0.4050188958644867,False,46.70746641176888,10.548810706070581,47.883868117759945,Back,Right
